Respondent,Hobbyist,Age,CompFreq,CompTotal,Country,CurrencySymbol,EdLevel,Employment,JobSat,NEWDevOps,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWStuck,OrgSize,PlatformDesireNextYear,Gender,UndergradMajor
200.0,No,53.0,Yearly,105000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,,No,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,2 to 9 employees,Android;AWS;Docker;iOS;Microsoft Azure;Raspberry Pi;Windows,Woman,"Computer science, computer engineering, or software engineering"
207.0,Yes,35.0,Yearly,90000.0,United States,USD,"Other doctoral degree (Ph.D., Ed.D., etc.)",,Very satisfied,No,Every few months,No,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,2 to 9 employees,AWS;Heroku;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
215.0,No,34.0,Yearly,170000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once every few years,No,Yes,No,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"1,000 to 4,999 employees",AWS,Man,"Computer science, computer engineering, or software engineering"
242.0,Yes,37.0,Monthly,25000.0,Israel,ILS,"Professional degree (JD, MD, etc.)",Employed full-time,Very satisfied,Yes,Every few months,Yes,Yes,Yes,Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,500 to 999 employees,Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson,Woman,"A social science (such as anthropology, psychology, political science, etc.)"
256.0,Yes,29.0,Yearly,50000.0,Finland,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,Slightly dissatisfied,Yes,Once a year,Not sure,Yes,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Docker;Google Cloud Platform;Linux;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
262.0,Yes,37.0,Yearly,171000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,Once every few years,Not sure,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,10 to 19 employees,Arduino;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Raspberry Pi,Man,"A social science (such as anthropology, psychology, political science, etc.)"
269.0,Yes,44.0,Monthly,62300.0,Sweden,SEK,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,Not sure,Every few months,Not sure,No,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"1,000 to 4,999 employees",AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
303.0,Yes,48.0,Yearly,146400.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,No,Visit Stack Overflow;Watch help / tutorial videos,10 to 19 employees,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Windows,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
307.0,Yes,41.0,Monthly,50000.0,Ireland,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,,Every few months,Yes,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,2 to 9 employees,AWS;Docker;Google Cloud Platform;Linux;Windows,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
310.0,Yes,27.0,Monthly,960.0,Brazil,CAD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,No,Every few months,Not sure,No,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,"Just me - I am a freelancer, sole proprietor, etc.",Android;Docker;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
329.0,,42.0,Yearly,80000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Yes,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Android;Arduino,Man,"A humanities discipline (such as literature, history, philosophy, etc.)"
331.0,Yes,37.0,Yearly,120000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,No,Yes,No,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;Arduino;AWS;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Windows,Woman,"Computer science, computer engineering, or software engineering"
363.0,Yes,40.0,Yearly,90000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,Yes,Every few months,No,No,Yes,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,Docker;Kubernetes;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
369.0,No,37.0,Yearly,144000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"1,000 to 4,999 employees",Android;Docker;Linux;Raspberry Pi;Windows;WordPress,Woman,"Information systems, information technology, or system administration"
373.0,Yes,,Yearly,55000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,"10,000 or more employees",AWS;Docker;Linux;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
401.0,Yes,34.0,Yearly,70000.0,Australia,AUD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,,No,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,Android;AWS;Docker;Linux,Man,"Computer science, computer engineering, or software engineering"
402.0,Yes,22.0,Yearly,40000.0,United Kingdom,GBP,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,Yes,Once a year,No,No,No,Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;Arduino;Docker;Linux;Raspberry Pi;Slack Apps and Integrations;Windows,Woman,"Computer science, computer engineering, or software engineering"
412.0,Yes,23.0,Monthly,110000.0,Turkey,TRY,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Very satisfied,Not sure,Every few months,Yes,No,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,"5,000 to 9,999 employees",Docker;Linux;Windows,Man,"Computer science, computer engineering, or software engineering"
429.0,,37.0,Yearly,44000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,Very satisfied,No,Once every few years,Not sure,Yes,No,Meditate;Play games;Visit Stack Overflow;Do other work and come back later,500 to 999 employees,Linux;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
448.0,Yes,41.0,Yearly,450000.0,United Kingdom,GBP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,Yes,Yes,Yes,,500 to 999 employees,Android;Linux,Woman,"A business discipline (such as accounting, finance, marketing, etc.)"
456.0,Yes,26.0,Yearly,73000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,,Every few months,Yes,No,No,Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"10,000 or more employees",AWS;Docker;Linux;Windows,Woman,"Computer science, computer engineering, or software engineering"
461.0,No,43.0,Yearly,115000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Very satisfied,Yes,Once a year,Not sure,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity,2 to 9 employees,AWS;Docker;Linux,Woman,"A social science (such as anthropology, psychology, political science, etc.)"
463.0,Yes,43.0,Yearly,154000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once a year,Yes,No,No,Call a coworker or friend;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,AWS;Linux;Raspberry Pi,Woman,"Computer science, computer engineering, or software engineering"
471.0,Yes,21.0,Monthly,24000.0,United Kingdom,GBP,Some college/university study without earning a degree,Employed full-time,Very satisfied,Yes,,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,20 to 99 employees,Android;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations,Woman,"Computer science, computer engineering, or software engineering"
479.0,No,31.0,Yearly,118500.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,AWS;Heroku;iOS,Man,"A social science (such as anthropology, psychology, political science, etc.)"
520.0,No,,Monthly,90000000.0,Iran,IRR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,Yes,Every few months,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,"1,000 to 4,999 employees",Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
530.0,Yes,50.0,Yearly,140000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,10 to 19 employees,,Man,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)"
532.0,Yes,33.0,Yearly,98000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,AWS;Docker;Linux;Windows,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
538.0,No,35.0,Yearly,140000.0,Ireland,EUR,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Very dissatisfied,Yes,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,"10,000 or more employees",AWS;Docker;Kubernetes;MacOS,Woman,"Computer science, computer engineering, or software engineering"
544.0,Yes,32.0,Yearly,900000.0,Mexico,MXN,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very dissatisfied,Yes,Every few months,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,20 to 99 employees,AWS;Docker;Linux;Windows,Woman,"Computer science, computer engineering, or software engineering"
557.0,No,26.0,Yearly,91000.0,Canada,CAD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Very satisfied,No,Once a year,No,Yes,No,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,10 to 19 employees,AWS;Docker;Kubernetes,Woman,"Computer science, computer engineering, or software engineering"
559.0,Yes,37.0,Yearly,181500.0,Canada,CAD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,No,No,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,500 to 999 employees,Docker;Linux;MacOS,Woman,"Computer science, computer engineering, or software engineering"
560.0,Yes,48.0,Yearly,95000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly dissatisfied,Yes,Every few months,Not sure,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Docker,Man,"Computer science, computer engineering, or software engineering"
562.0,Yes,27.0,Yearly,88000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Every few months,Not sure,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Visit another developer community (please name):,100 to 499 employees,Arduino;AWS;Google Cloud Platform;iOS;Linux;MacOS,Woman,"Computer science, computer engineering, or software engineering"
571.0,Yes,25.0,Yearly,105000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Slightly satisfied,No,Once every few years,No,No,Yes,Visit Stack Overflow;Watch help / tutorial videos,100 to 499 employees,Android;Docker;Linux;Microsoft Azure;Windows,Man,Web development or web design
576.0,Yes,29.0,Yearly,50000.0,France,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,Once a year,,No,No,Visit Stack Overflow;Do other work and come back later,20 to 99 employees,AWS;Docker,Woman,"Computer science, computer engineering, or software engineering"
584.0,Yes,38.0,Yearly,150000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,No,Yes,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,AWS;Windows,Woman,"Computer science, computer engineering, or software engineering"
590.0,Yes,41.0,Yearly,159000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once every few years,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,Android;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
595.0,Yes,37.0,Yearly,150000.0,United States,USD,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Very satisfied,No,Once a year,No,No,No,Visit Stack Overflow,20 to 99 employees,AWS;Linux,Man,"A natural science (such as biology, chemistry, physics, etc.)"
624.0,Yes,26.0,Monthly,30000.0,India,INR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Not sure,Once a year,No,Yes,Yes,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,Android,Woman,"Computer science, computer engineering, or software engineering"
696.0,Yes,30.0,Monthly,500.0,El Salvador,USD,"Professional degree (JD, MD, etc.)",Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,No,Visit Stack Overflow,20 to 99 employees,Arduino;Microsoft Azure,Man,"Computer science, computer engineering, or software engineering"
697.0,No,28.0,Yearly,65000.0,France,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once a year,Yes,Yes,No,Meditate;Visit Stack Overflow,20 to 99 employees,Linux,Woman,"Computer science, computer engineering, or software engineering"
718.0,Yes,51.0,Yearly,170000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,Not sure,No,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Android;Arduino;AWS;Docker;iOS;Linux;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
726.0,Yes,45.0,Yearly,350000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Once a decade,,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Windows,Woman,"Computer science, computer engineering, or software engineering"
750.0,No,36.0,Yearly,142000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Once every few years,No,No,No,Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,AWS;Google Cloud Platform;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
823.0,Yes,43.0,Yearly,60000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Android;iOS;Windows,Man,"Computer science, computer engineering, or software engineering"
842.0,Yes,37.0,Yearly,125000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"10,000 or more employees",Docker;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
878.0,Yes,48.0,Yearly,170000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,,Once a year,Not sure,Yes,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,500 to 999 employees,AWS;Kubernetes;Microsoft Azure;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
887.0,Yes,38.0,Yearly,160000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,"1,000 to 4,999 employees",AWS;Docker;Kubernetes;Linux;MacOS,Man,"Information systems, information technology, or system administration"
895.0,No,27.0,Yearly,66000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,No,Yes,No,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,10 to 19 employees,Android;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
905.0,Yes,33.0,Yearly,90000.0,Canada,CAD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Slightly dissatisfied,Yes,Once a year,Yes,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,20 to 99 employees,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux,Man,"A social science (such as anthropology, psychology, political science, etc.)"
908.0,Yes,,Monthly,32000.0,Mexico,MXN,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Visit another developer community (please name):,20 to 99 employees,Arduino;AWS;Docker;Kubernetes;Linux,Man,"Computer science, computer engineering, or software engineering"
912.0,Yes,,Yearly,125000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Once every few years,No,No,Yes,Play games;Visit Stack Overflow;Watch help / tutorial videos,20 to 99 employees,Docker;Linux;Raspberry Pi;Slack Apps and Integrations,Woman,"Computer science, computer engineering, or software engineering"
913.0,Yes,,Yearly,29200.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,No,Once a year,,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;Arduino;Windows;WordPress,Woman,"Information systems, information technology, or system administration"
921.0,Yes,,Monthly,3500.0,Peru,PEN,Some college/university study without earning a degree,Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Not sure,No,Yes,Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
931.0,Yes,33.0,Yearly,145000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,10 to 19 employees,,Woman,Web development or web design
939.0,No,24.0,Monthly,67800.0,United Kingdom,GBP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly dissatisfied,No,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,20 to 99 employees,AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;Microsoft Azure,Man,"A natural science (such as biology, chemistry, physics, etc.)"
950.0,Yes,30.0,Yearly,32000.0,United Kingdom,GBP,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Very satisfied,No,Once every few years,,Yes,No,Play games;Visit Stack Overflow;Do other work and come back later,10 to 19 employees,Linux;Windows,Man,"A natural science (such as biology, chemistry, physics, etc.)"
,Yes,31.0,Yearly,114000.0,Canada,CAD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Every few months,No,No,No,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,AWS;Docker;Linux;MacOS,Man,"Computer science, computer engineering, or software engineering"
965.0,,36.0,Yearly,143663.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Kubernetes;Microsoft Azure;Windows,Woman,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)"
,No,31.0,Yearly,145000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,Yes,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,20 to 99 employees,AWS;Docker;Linux;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
986.0,Yes,27.0,Weekly,81000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,"1,000 to 4,999 employees",Android;Arduino;AWS;Docker;Linux;Raspberry Pi;Windows;WordPress,Man,"Computer science, computer engineering, or software engineering"
1013.0,Yes,25.0,Yearly,120000.0,Brazil,BRL,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,Yes,Every few months,Yes,No,No,Visit Stack Overflow,2 to 9 employees,Android;AWS;Docker;Heroku;Kubernetes;Linux;MacOS,Man,"Information systems, information technology, or system administration"
1026.0,Yes,22.0,Weekly,1050.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Yes,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Android;Arduino;Docker;Linux;Raspberry Pi,Woman,"Computer science, computer engineering, or software engineering"
